Customer_ID,Customer_Name,Customer_Segment,City,Region
C001,Acme Retail,Enterprise,Riyadh,North
C002,Beta Stores,SMB,Jeddah,south
C003,Gamma Market,Enterprise,Riyadh,NORTH
C004,Delta Shop,SMB,Dammam,East
C005,Echo Trading,SMB,Medina,West
C006,Falcon Mart,Consumer,Riyadh,East
C007,Green Basket,SMB,Jeddah,West
C008,Horizon LLC,Enterprise,Riyadh,North
C009,Iris Goods,SMB,Dammam,East
C010,Jade Retail,Consumer,Medina,West
C011,Kite Supplies,SMB,Jeddah,West
C012,Lunar Tech,Enterprise,Riyadh,North
C013,Metro Market,SMB,Jeddah,South
C014,Nova Stores,Consumer,Dammam,East
C015,Orbit Retail,SMB,Medina,West
C016,Pioneer Shop,SMB,Riyadh,NORTH
C017,Quick Mart,Consumer,Jeddah,south
C018,Royal Goods,Enterprise,Dammam,East
C019,Sunrise Store,SMB,Medina,West
C020,Titan Market,SMB,Riyadh,North
C021,Unity Retail,Consumer,Jeddah,South
C022,Vista Shop,Enterprise,Dammam,East
C023,Westline Goods,SMB,Medina,West
C024,Xpress Mart,SMB,Riyadh,North
C025,Yellow Basket,Consumer,Jeddah,South
C026,Zenith LLC,Enterprise,Dammam,East
C027,Alpha Stores,SMB,Medina,West
C028,Bravo Retail,SMB,Riyadh,North
C029,Cedar Shop,Consumer,Jeddah,South
C030,Dune Market,Enterprise,Dammam,East
C031,Elm Trading,SMB,Medina,West
C032,Fjord Retail,SMB,Riyadh,North
C033,Gulf Goods,Consumer,Jeddah,South
C034,Harbor Shop,SMB,Dammam,East
C035,Ivory Market,Enterprise,Medina,West
C036,Juniper LLC,SMB,Riyadh,North
C037,Keystone Retail,Consumer,Jeddah,South
C038,Lotus Stores,Enterprise,Dammam,East
C039,Maple Shop,SMB,Medina,West
C040,Noble Market,SMB,Riyadh,North
C041,Olive Goods,Consumer,Jeddah,South
C042,Pearl Retail,Enterprise,Dammam,East
C043,Quartz Shop,SMB,Medina,West
C044,River Market,SMB,Riyadh,North
C045,Silver Stores,Consumer,Jeddah,South
C046,Terra Goods,Enterprise,Dammam,East
C047,Urban Retail,SMB,Medina,West
C048,Valley Shop,SMB,Riyadh,North
C049,Willow Market,Consumer,Jeddah,South
C050,Yonder Goods,Enterprise,Dammam,East
C051,Zest Retail,SMB,Medina,West
C052,Atlas Shop,SMB,Riyadh,North
C053,Beacon Market,Consumer,Jeddah,South
C054,Crown Goods,Enterprise,Dammam,East
C055,Drift Retail,SMB,Medina,West
C056,Evergreen Shop,SMB,Riyadh,North
C057,Fable Market,Consumer,Jeddah,South
