Month,Region,Sales_Target
2024-01-01,North,4500
2024-01-01,South,4000
2024-01-01,East,3500
2024-01-01,West,3000
2024-02-01,North,4700
2024-02-01,South,4100
2024-02-01,East,3600
2024-02-01,West,3100
2024-03-01,North,4800
2024-03-01,South,4200
2024-03-01,East,3700
2024-03-01,West,3200
2024-04-01,North,5000
2024-04-01,South,4300
2024-04-01,East,3800
2024-04-01,West,3300
2024-05-01,North,5100
2024-05-01,South,4400
2024-05-01,East,3900
2024-05-01,West,3400
2024-06-01,North,5200
2024-06-01,South,4500
2024-06-01,East,4000
2024-06-01,West,3500
2024-07-01,North,5300
2024-07-01,South,4600
2024-07-01,East,4100
2024-07-01,West,3600
2024-08-01,North,5400
2024-08-01,South,4700
2024-08-01,East,4200
2024-08-01,West,3700
2024-09-01,North,5500
2024-09-01,South,4800
2024-09-01,East,4300
2024-09-01,West,3800
2024-10-01,North,5600
2024-10-01,South,4900
2024-10-01,East,4400
2024-10-01,West,3900
2024-11-01,North,5700
2024-11-01,South,5000
2024-11-01,East,4500
2024-11-01,West,4000
2024-12-01,North,5800
2024-12-01,South,5100
2024-12-01,East,4600
2024-12-01,West,4100
